TIC,sectors
2760232,[2]
2761472,[2]
5640393,[2]
5656273,[2]
5676537,[2]
5725904,[2]
5727213,[2]
5796048,[2]
5796211,[2]
7151484,[2]
8962122,[2]
8991030,[2]
9003103,[2]
9072094,[2]
9102812,[2]
9210746,[2]
9664841,[2]
9708387,[2]
12359032,[2]
12359079,[2]
12377787,[2]
12393800,[2]
12421477,[2]
12423835,[2]
12471629,[2]
12474920,[2]
12509218,[2]
12931952,[2]
12996375,[2]
13060575,[2]
20891744,[2]
20892891,[2]
24292848,[1]
25078924,[1 2]
25081629,[1 2]
25118964,[1 2]
25132694,[2]
25132999,[1 2]
25153167,[1]
25200252,[1]
25243422,[1]
25353710,[1]
25372748,[1]
25374751,[1]
27955268,[2]
29257288,[1]
29430569,[1]
29477348,[1]
29671923,[1]
29779873,[1 2]
29780677,[1 2]
29781591,[1]
29830830,[1 2]
30186108,[1 2]
30527625,[1]
31108599,[1]
31381302,[1 2]
31633878,[1 2]
31740375,[1 2]
31747041,[2]
31779649,[1 2]
31780319,[1 2]
31798493,[1 2]
31798732,[2]
31850842,[2]
31852565,[1 2]
31945753,[2]
32032816,[2]
32036415,[1 2]
32051273,[1]
32052779,[1 2]
32068500,[1 2]
32068898,[1 2]
32089522,[1 2]
32090581,[1 2]
32090583,[1 2]
32150630,[1 2]
32178036,[1]
33714944,[1]
33837062,[1 2]
33864387,[2]
33878971,[1 2]
33880418,[1 2]
33881250,[1 2]
33949202,[2]
34014829,[2]
38461453,[1 2]
38462407,[1 2]
38515801,[1 2]
38518773,[1 2]
38585053,[1 2]
38586438,[1 2]
38602305,[2]
38633243,[1 2]
38633462,[1 2]
38634790,[2]
38680132,[1 2]
38681518,[1 2]
38698751,[1 2]
38759628,[1]
38762657,[1]
38820496,[1 2]
38822853,[1]
38824355,[2]
38937499,[2]
40183989,[2]
40716679,[1]
41112771,[1]
41259321,[2]
41463262,[2]
41595212,[1]
41789657,[2]
41858253,[2]
41862041,[2]
41862291,[2]
41898474,[2]
47337894,[2]
47423224,[2]
47424649,[2]
47424873,[2]
47465993,[2]
49619607,[2]
49622317,[2]
49678165,[2]
49687321,[2]
50232454,[2]
50274085,[1 2]
50311775,[2]
50313171,[2]
50345701,[1]
50472380,[1 2]
51993161,[2]
52019004,[1 2]
52019395,[1]
52194976,[2]
52242947,[1]
52256020,[1 2]
52284854,[1 2]
52382634,[1 2]
53726408,[1]
53752822,[1]
53842250,[1]
53842668,[1]
53851254,[1]
53941148,[1]
53976470,[1]
55269690,[1 2]
55291546,[1]
55453391,[1 2]
55525518,[1 2]
55604222,[1 2]
55663720,[1 2]
55744694,[1 2]
55848120,[2]
61178249,[1]
61178260,[1]
61708463,[1]
66356853,[2]
66397732,[2]
66412342,[2]
66438591,[2]
66472244,[2]
66501697,[2]
69814849,[2]
69925469,[2]
70742059,[2]
70742090,[2]
70742156,[2]
70744192,[2]
70744273,[2]
70744320,[2]
70761819,[2]
70763008,[2]
70775324,[2]
70775541,[2]
70785920,[2]
70788010,[2]
70797900,[2]
70798821,[2]
71274771,[1]
71335815,[1]
77004378,[2]
77022104,[2]
77041173,[2]
79011520,[1]
79225651,[1]
79301671,[1]
79301672,[1]
79403675,[1]
79491341,[1]
80055369,[1]
80080784,[1]
80083663,[1]
80261924,[2]
80337451,[2]
80362748,[2]
80427281,[2]
80427866,[2]
80453023,[2]
88246378,[1]
89257479,[1]
89434461,[2]
89466504,[1]
89502706,[2]
89502708,[2]
89529498,[2]
89543390,[2]
89546779,[2]
91478103,[1]
92136299,[2]
92138131,[2]
92254719,[1]
92254720,[1]
92350846,[1]
92500085,[1]
92564714,[1]
92595555,[1]
92630250,[1]
92865531,[1]
92877691,[1]
92877752,[1]
99494149,[1]
99499229,[1]
99499658,[1]
99566892,[1]
100100909,[2]
101936401,[2]
101963752,[2]
102032397,[2]
102064049,[2]
102071750,[2]
102086756,[2]
111755544,[2]
114794572,[2]
114818487,[2]
114819903,[2]
114851071,[2]
114858562,[2]
114953216,[1]
114985772,[1]
115015715,[1]
115151897,[1]
115190256,[1]
115242296,[2]
115242300,[2]
115693552,[2]
116157661,[2]
117510145,[1]
117512124,[1]
117517652,[1]
117545157,[1]
117549840,[2]
117874958,[2]
117874959,[2]
118327563,[2]
118585716,[2]
120442975,[2]
120488589,[2]
120506718,[2]
120522722,[2]
120566166,[2]
120609299,[2]
121420805,[1]
126748132,[1]
126766627,[1]
126805047,[1]
126945045,[1]
129646813,[1]
129678819,[1]
137772485,[2]
137801807,[2]
139090254,[1]
139131482,[1]
139233425,[1]
139285666,[2]
139300806,[2]
139300891,[1 2]
139328314,[2]
139722169,[1]
139763851,[1]
139804406,[1]
139804696,[1]
139825198,[1]
139841210,[1]
139984208,[1]
139990632,[1]
139996019,[1]
140039144,[1]
140045537,[1]
140045538,[1]
140069261,[1]
140579674,[2]
140659980,[2]
140859822,[1 2]
140971842,[1]
141096071,[2]
141212720,[1 2]
141271216,[2]
141278810,[1]
141334293,[1 2]
141423634,[1 2]
141426525,[1]
141606958,[2]
141769356,[1 2]
141771691,[1]
141807839,[2]
141914082,[1]
141945750,[1]
141975926,[1 2]
142052608,[1 2]
142052876,[1 2]
142082467,[2]
142082942,[2]
142085618,[2]
142086812,[1 2]
142087340,[1]
142087451,[1]
142107618,[1 2]
142144969,[1]
142148228,[1]
143821840,[1]
143822655,[1]
144217628,[1]
144313450,[2]
144403212,[2]
144406668,[2]
144458200,[1]
145964181,[2]
147085676,[1]
147113919,[1]
147133612,[1]
147163817,[1]
147250411,[1]
147272181,[1]
147302016,[1]
147421845,[1]
149019616,[2]
149101411,[1 2]
149103941,[1]
149175965,[2]
149216532,[1 2]
149248196,[1 2]
149347480,[1 2]
149347629,[1 2]
149423103,[2]
149445580,[1 2]
149603524,[1]
149838027,[2]
149913598,[1]
149988104,[2]
150100421,[1 2]
150145456,[1 2]
150167319,[1 2]
150187916,[1]
