TIC,sectors
150188736,[1 2]
150299548,[1 2]
150321663,[1 2]
150359500,[1 2]
150359982,[1 2]
150391740,[1]
150393064,[1]
150432211,[1 2]
152088075,[2]
152875048,[1]
154616669,[2]
154842794,[2]
155776875,[2]
155895287,[2]
155896947,[2]
155897483,[2]
155991217,[2]
156002545,[2]
156084049,[2]
158595208,[2]
158596311,[2]
158623009,[2]
158624542,[2]
158646362,[2]
160074646,[2]
160113240,[2]
161172848,[1]
161174284,[1]
161174286,[1]
161175802,[1]
161175809,[1]
161267354,[1]
161356637,[1]
161384122,[1]
166739932,[2]
166787846,[2]
166808151,[2]
166835568,[2]
166852312,[2]
166972537,[2]
167006919,[2]
167086201,[2]
167087044,[2]
167089430,[1]
167163906,[1 2]
167164775,[1]
167165793,[1 2]
167207566,[1 2]
167207809,[2]
167247077,[1 2]
167305187,[2]
167306154,[2]
167344029,[2]
167344043,[1 2]
167344197,[1]
167417695,[2]
167422188,[2]
167524310,[1]
167524563,[1]
167525513,[1]
167549764,[1]
167574282,[1 2]
167602025,[1 2]
167695269,[1]
167696018,[1 2]
167719689,[2]
167812509,[1 2]
167814740,[1 2]
167894019,[1 2]
169253572,[2]
175298549,[2]
175456846,[2]
176873028,[1 2]
176955267,[1 2]
176980970,[1 2]
177036977,[1 2]
177115978,[1 2]
177116487,[1 2]
177165867,[1 2]
177174910,[2]
177252917,[1]
177255827,[1 2]
177309964,[1 2]
177313167,[1 2]
177352893,[1]
177353450,[1]
177389302,[1]
179038379,[1]
179040607,[1 2]
179315999,[2]
179369970,[1]
179440946,[2]
180412528,[1]
180443507,[2]
180552080,[2]
180724005,[2]
180872017,[2]
183306102,[1]
183535753,[2]
183562569,[2]
183588878,[2]
183596242,[2]
183984201,[2]
188573066,[2]
188586529,[2]
188626183,[2]
197598732,[1]
197644539,[1]
197757864,[1]
197787320,[2]
197790801,[2]
197806534,[2]
197829751,[2]
197866263,[2]
197866266,[2]
197879574,[2]
197884260,[2]
197891904,[2]
197933191,[2]
197961755,[1]
197987557,[1]
198003939,[2]
198006712,[2]
198034151,[2]
198073312,[2]
198076334,[2]
200668936,[2]
200769811,[2]
201226029,[1 2]
201233593,[2]
201235367,[2]
201248233,[2]
201250285,[1 2]
201251167,[2]
201252826,[1 2]
201289286,[2]
201292296,[1 2]
201307948,[2]
201752612,[2]
201753428,[2]
201789285,[2]
201792346,[2]
201795667,[2]
201795716,[2]
201799091,[2]
201857950,[2]
201858667,[2]
201860785,[2]
201860787,[2]
201861769,[2]
201878287,[2]
201879471,[2]
201883033,[2]
201897406,[2]
201898220,[2]
201898222,[2]
201919099,[2]
201920975,[2]
201938513,[2]
204322922,[2]
204375878,[2]
204450571,[1]
206283441,[2]
206327047,[2]
206327795,[1]
206327797,[1]
206353405,[2]
206358152,[2]
206473269,[1]
206502540,[2]
206529986,[1]
206537793,[1]
206542524,[2]
206544316,[1 2]
206548902,[2]
206556127,[1]
206592394,[2]
206609630,[1 2]
206610657,[2]
206623351,[2]
206624740,[2]
206649739,[2]
206688155,[2]
207080123,[1]
207082763,[1]
207108993,[2]
207132076,[2]
207138379,[2]
207140650,[2]
207144018,[2]
207147334,[2]
207148580,[2]
207169757,[2]
207172859,[2]
207199350,[2]
207238086,[2]
209396749,[1]
211354464,[1]
211378474,[1]
211414575,[1]
211433156,[1]
211438898,[2]
214516789,[1]
214517415,[1]
214664015,[2]
214772274,[1]
214912309,[1]
215197039,[1]
218963269,[2]
218973487,[2]
218985069,[2]
219150432,[1]
219166792,[1]
219176544,[1]
219212899,[1]
219325965,[1]
219326123,[1]
219328784,[1]
219339932,[2]
219993473,[2]
219998026,[2]
220018894,[2]
220391763,[2]
220398321,[2]
220407530,[2]
220408233,[1]
220411388,[1 2]
220417260,[2]
220429097,[1 2]
220432563,[1 2]
220433363,[2]
220433364,[2]
220436250,[2]
220457102,[2]
220460948,[2]
220473037,[2]
220473309,[2]
220474209,[1]
220476782,[1]
220481179,[1]
220512758,[1]
220513299,[1 2]
220522527,[1 2]
220523369,[1 2]
220526731,[1]
220536421,[1 2]
220538891,[1 2]
220539110,[1 2]
220556639,[1 2]
220557560,[1 2]
220557792,[1 2]
220558700,[2]
220570408,[1]
224225152,[2]
224244458,[2]
224270730,[2]
224272527,[2]
224278523,[2]
224283342,[2]
228463618,[2]
228507309,[2]
228508202,[2]
228570067,[2]
229013887,[1]
229034814,[1]
229060052,[1]
229066844,[2]
229070841,[2]
229071346,[2]
229092618,[2]
229096614,[2]
229098638,[2]
229105380,[2]
229137237,[2]
229141941,[2]
229142295,[2]
229144144,[2]
229145550,[2]
229147247,[2]
229147922,[2]
229147927,[2]
229151691,[2]
229157853,[2]
229807000,[1]
229807051,[1]
230982053,[2]
231017428,[2]
231020638,[2]
231020924,[2]
231058925,[2]
231061242,[2]
231090784,[1 2]
231122278,[1]
231267979,[1]
231277216,[2]
231631019,[1]
231631020,[1]
231632372,[1]
231669332,[1]
231708319,[1]
231712555,[1]
231810457,[1]
231828370,[1]
231828950,[1 2]
231830359,[1 2]
231831315,[1 2]
231835378,[1 2]
231838187,[1]
231850074,[1]
231857003,[1 2]
231867117,[1 2]
231907973,[1 2]
231910539,[1 2]
231910796,[2]
231914259,[1 2]
232062375,[1]
232064182,[1]
232073219,[1 2]
232073492,[1 2]
232073646,[2]
232082780,[1]
232083054,[1 2]
234283523,[1]
234284556,[1]
234288627,[1]
234290432,[1]
234292783,[1]
234295610,[1]
234305155,[1 2]
234305804,[1]
234305872,[2]
234307350,[2]
234333175,[1 2]
234334620,[2]
234338669,[1]
234495456,[1 2]
234497476,[1]
234502300,[2]
234506344,[1 2]
234506911,[1 2]
234509975,[1 2]
234523773,[1 2]
234523931,[1]
234526939,[2]
234529160,[2]
234547938,[2]
234998454,[1]
235037761,[1]
237338543,[1]
237339854,[1]
237880881,[1 2]
237883499,[2]
237883772,[2]
237885807,[1 2]
237910557,[1 2]
237918270,[2]
237918271,[2]
237928028,[2]
237934055,[1]
237940278,[2]
237949289,[2]
238176832,[1]
238183068,[1 2]
238185204,[1 2]
238194430,[1 2]
238194459,[1 2]
238228648,[1 2]
238813187,[1]
238817606,[1]
238853963,[1]
238876720,[2]
238892775,[1 2]
238893410,[1 2]
240764987,[2]
246854127,[2]
246860755,[2]
246861224,[2]
251823847,[2]
251828744,[2]
251840507,[2]
251845153,[2]
251845156,[2]
251846450,[2]
251853749,[2]
251876851,[2]
251879885,[2]
251879914,[2]
259845346,[1]
259861569,[2]
259928422,[2]
260127241,[1 2]
260162387,[1 2]
260188534,[2]
260268898,[1]
260269256,[2]
260296875,[1 2]
260303793,[2]
260304296,[2]
260351540,[1 2]
260352702,[1 2]
260416268,[1]
260473060,[1]
260504446,[1 2]
260506296,[1 2]
260655797,[1 2]
260655847,[2]
260749816,[1]
260889990,[1]
260972843,[1 2]
261205179,[2]
261236136,[1]
261261192,[1]
261335869,[1]
261378866,[1]
261523668,[1]
261540707,[1]
261560580,[1]
261678862,[1]
261683334,[1]
261749149,[1]
262039241,[2]
262110281,[2]
262609754,[1 2]
262612391,[1]
262818244,[1]
262818859,[1]
262921847,[1 2]
262955872,[1]
265567103,[1]
266637623,[1]
266640930,[1]
266903338,[1]
266923326,[1]
266997586,[1]
266998480,[1]
267094881,[1 2]
269762258,[1]
269762999,[1]
269792900,[2]
269793839,[1]
269797536,[2]
269829656,[1]
269849065,[1]
269855929,[1 2]
269857351,[1]
269940990,[1]
270036525,[1]
270038761,[1]
270101915,[1]
270268718,[2]
270302811,[1]
270340904,[1]
270341486,[1]
270342707,[1]
270356871,[1]
270368906,[1]
270377903,[2]
270424046,[2]
270460537,[2]
270460907,[2]
270474668,[1]
270500463,[1]
270554477,[1]
270557659,[1]
270623499,[1]
270627580,[1]
270672809,[1]
270676943,[1]
270677813,[1]
271639931,[2]
271640350,[1 2]
271698144,[1 2]
271725679,[1 2]
271795905,[1]
271891933,[2]
271900514,[1 2]
271975726,[1 2]
271999994,[2]
272086159,[2]
272233699,[2]
272362527,[2]
273369281,[1]
273395799,[1]
273416539,[1]
273512747,[1]
273515033,[1]
273550461,[1]
273550465,[1]
273551414,[1]
273606451,[1]
273699558,[1]
273789976,[1]
273792220,[1 2]
273849828,[2]
273853024,[1 2]
273864083,[2]
274017928,[1]
277102246,[1 2]
277298771,[1 2]
278024057,[1]
278051906,[1]
278078903,[1]
278615421,[1]
278634010,[1]
278658834,[1]
278703988,[1]
278706162,[1]
278708134,[1]
278708135,[1]
278823339,[1]
278826808,[2]
278899461,[2]
278901079,[2]
278991483,[1]
279054842,[2]
279055830,[1 2]
279088395,[2]
279089140,[1]
279157429,[2]
279245231,[1 2]
279314127,[1]
279315384,[1]
279426213,[2]
279511168,[1 2]
279511291,[1]
279570232,[1 2]
279614617,[1]
279615427,[1 2]
279637761,[2]
279726713,[2]
279742103,[2]
280052249,[2]
280098208,[1]
280699328,[1]
280794244,[1]
280794284,[1]
280830154,[1 2]
280910638,[1]
281461138,[2]
281497804,[1 2]
281498280,[1 2]
281542064,[2]
281562429,[2]
281573523,[2]
281582156,[1]
281597810,[2]
281599277,[2]
281630320,[1 2]
281670243,[2]
281708621,[1]
281727075,[1]
281779297,[2]
281780792,[2]
287148041,[1]
287328866,[1]
287329624,[1]
287350461,[2]
287350462,[2]
287428978,[2]
287438823,[1 2]
287584993,[2]
289575374,[2]
289840926,[1]
289840928,[1]
290027057,[1]
290496318,[1]
293164462,[2]
293273183,[1 2]
293482385,[1]
293507177,[1]
293508236,[1]
293618677,[1]
293970254,[2]
294098955,[2]
294329266,[1 2]
294667961,[2]
294750180,[1]
294754396,[1 2]
299798795,[1]
300037002,[1]
300266322,[1]
300290733,[1 2]
300329283,[2]
300443794,[1]
300709924,[2]
300864518,[1]
300866996,[1 2]
300969581,[1 2]
300972613,[2]
302116397,[1]
302296434,[1]
302298728,[1]
302333352,[1]
302376679,[1]
302455581,[1]
302751788,[1]
302965929,[1]
303909762,[1]
303909865,[1]
303953275,[1 2]
304032310,[1]
304096841,[2]
304098027,[2]
304133717,[2]
304392811,[2]
306577678,[1 2]
306736831,[2]
306740183,[1]
306826065,[1 2]
306931200,[2]
307031724,[1 2]
307290964,[2]
307367073,[2]
307437493,[2]
307490251,[2]
307711716,[2]
307714152,[2]
307715447,[2]
307783859,[2]
307921974,[2]
308183430,[2]
308209545,[2]
308451526,[1]
308543286,[1]
308543986,[1]
308662088,[1]
309062208,[1]
309299238,[1]
309472899,[1]
309617141,[1 2]
309618860,[2]
309658394,[2]
309714906,[1]
309791561,[2]
311057057,[2]
311410850,[2]
313890957,[2]
313891046,[2]
313932570,[2]
313934058,[2]
313934111,[2]
313934132,[2]
313934186,[2]
313934195,[2]
313934217,[2]
314018646,[2]
314825931,[1]
314864866,[1]
314865597,[2]
316805931,[2]
316976676,[1]
316992294,[1]
317016534,[1]
318606698,[1]
319289907,[1]
319466859,[2]
322051377,[2]
322051381,[2]
325178532,[1]
325205605,[1]
325220989,[1]
325525541,[1]
326393023,[1]
326445217,[1]
326446019,[2]
327667965,[1]
327724630,[1]
327953002,[2]
327996089,[2]
332487879,[2]
332488398,[2]
332507607,[2]
332507719,[2]
332517282,[2]
339576478,[1 2]
339607562,[2]
339633702,[1 2]
339770560,[1 2]
339891888,[1]
340703767,[2]
340703996,[2]
348718444,[1]
348763552,[1]
348839788,[1 2]
348841387,[1 2]
348898049,[1 2]
348992095,[1 2]
349152048,[2]
349192028,[1 2]
349273863,[1 2]
349518888,[1]
349762144,[1 2]
350025862,[2]
350142099,[1 2]
350146388,[1 2]
350190639,[1]
350190949,[1]
350215424,[1]
350223741,[1]
350298948,[2]
350520348,[1]
350584820,[1]
350620345,[2]
350713883,[1 2]
350824771,[2]
350840339,[1]
354605348,[2]
354606420,[2]
355509155,[2]
355601331,[1 2]
355650859,[2]
355739089,[1 2]
355766445,[1 2]
355767053,[1 2]
358071175,[2]
358108300,[1]
358108509,[1]
358174980,[1 2]
358176584,[1 2]
358252947,[2]
358509438,[1]
358577029,[1]
364302118,[2]
364327160,[2]
364425576,[2]
364588501,[1 2]
364588805,[2]
364589441,[1 2]
369361542,[2]
369587204,[2]
369603734,[2]
369706249,[1]
369966331,[1]
370038641,[2]
370136985,[1]
370282727,[1]
370325560,[1]
370326489,[1]
373985178,[2]
374912345,[2]
375034557,[2]
375035131,[1 2]
375058105,[2]
376931811,[1]
376935746,[2]
377017343,[1 2]
381855507,[1]
381857325,[1]
381949148,[2]
381977500,[2]
381979279,[2]
382068748,[2]
382157531,[1]
382160308,[2]
382200946,[1]
382243958,[1 2]
382258517,[1]
382383645,[1]
382383684,[1]
382423333,[2]
382424280,[2]
382472618,[2]
382520453,[2]
382575703,[1]
382575967,[1]
382624902,[1 2]
382635553,[1]
388130395,[1]
388131944,[2]
388182591,[1 2]
388204750,[1]
389051009,[1]
389349440,[1]
389426731,[1]
389522775,[1]
389568266,[1]
389660501,[1]
389727431,[2]
391745863,[1]
391902278,[1]
392756613,[1]
393490554,[2]
393891178,[1]
394136141,[1]
394136313,[1]
394137224,[1]
394137792,[1]
394210384,[1]
394230613,[2]
394230953,[1 2]
394244919,[1]
394275759,[1]
394356010,[1]
394580636,[1]
394632679,[1]
394680557,[1]
396697136,[2]
396722785,[2]
399570848,[2]
401838575,[2]
401840741,[2]
402294760,[2]
402313695,[2]
402313808,[2]
402317932,[2]
402317982,[2]
402319281,[2]
402339590,[2]
402341182,[2]
403121294,[1]
403121771,[1]
403138334,[1]
403191366,[1]
403236288,[1]
403237836,[1]
403266307,[1]
404768019,[1 2]
406276109,[1]
406277015,[1]
406344319,[1]
406403791,[2]
407624075,[2]
409141581,[1]
410153553,[1]
410213494,[1]
410214984,[1]
410214986,[1]
410421717,[1]
410441676,[1]
410486022,[1]
419010038,[2]
419667825,[1]
421919895,[1]
421951793,[1]
425933644,[1 2]
425934574,[1 2]
425937691,[1 2]
425938795,[1 2]
425940082,[1 2]
425976940,[1 2]
426011964,[1]
426018060,[1 2]
431383040,[1]
431479577,[1]
434096244,[2]
434097152,[2]
434101013,[2]
434101713,[2]
434103039,[2]
434105094,[2]
434106919,[2]
434109088,[2]
434109160,[2]
439399707,[2]
441024908,[1]
441051650,[2]
441054134,[2]
441054736,[2]
441056236,[2]
441082917,[1]
441110177,[1]
441125193,[1]
441398770,[1]
441420236,[1]
441423591,[1]
441461724,[2]
441469231,[2]
441490000,[2]
444151146,[1]
444153368,[2]
453101762,[2]
471012589,[1]
471012663,[2]
471015484,[2]
