TIC,sectors,period,range
160637,[11],0.389,
690975,"[7, 34]",6.882,0.6819999999999995
690979,"[7, 34]",6.90715,0.6316999999999995
756091,[7],6.304,
757171,"[7, 34]",4.3770500000000006,0.045900000000000496
1103681,[8],7.057,
1141696,[8],15.88,
1352449,[8],4.8261,
1505227,"[8, 35]",0.38871500000000003,0.00018999999999996797
1636399,[13],2.56302,
1827590,[19],8.65,
1830614,[19],7.398,
1832556,[19],8.4703,
1834635,[19],9.794,
1836854,[19],5.4308,
1870559,[8],1.20027,
1871204,[12],7.592,
1886469,[12],4.13,
1946476,[19],4.9831,
1950151,[19],0.27363,
2230857,[19],0.59099,
2231489,[19],7.513,
2334836,[19],2.16083,
2427846,[19],2.0924,
2604236,[19],11.77,
2851619,[19],3.9443,
2896242,"[8, 9, 35]",6.534566666666667,0.7092999999999998
2931612,[12],1.51651,
2937838,[19],4.0408,
2942466,[19],0.405,
2963978,"[9, 35]",3.48505,0.059100000000000374
3031382,[19],7.45,
3049990,"[8, 9, 35]",0.43788333333333335,0.00035000000000001696
3102376,[19],4.38,
3117265,[19],0.78799,
3119557,"[8, 9, 35]",0.6234166666666666,0.37439
3178976,[12],5.8517,
3217582,[19],2.296,
3223360,[19],0.79895,
3226154,[9],5.9908,
3349355,[8],7.005,
3420227,[12],1.58913,
3518670,"[8, 9, 35]",4.025200000000001,0.2726000000000002
3546661,[19],4.6501,
3550917,[19],9.516,
3571557,[19],5.8627,
3778498,"[9, 35]",5.54185,3.5343
3995303,[9],5.839,
4001749,[9],7.039,
4002976,"[8, 9, 35]",1.8389999999999997,0.04800000000000004
4009244,[5],3.3214,
4009724,"[5, 32]",0.780815,0.00020999999999993246
4009824,[5],1.04006,
4010192,[5],1.237,
4010412,[5],2.2518,
4010456,"[5, 32]",1.69552,1.1491599999999997
4010908,[5],0.516,
4011038,"[5, 32]",4.7964,0.012800000000000367
4011112,"[5, 32]",2.6673999999999998,0.014799999999999702
4011121,"[5, 32]",0.796875,0.00028999999999990145
4011546,[5],0.46571,
4011592,"[5, 32]",0.8795,0.0010000000000000009
4011597,"[5, 32]",3.0655,4.375
4011599,"[5, 32]",3.16455,2.1153
4011795,[32],0.72116,
4012098,[32],3.5908,
4066007,[32],3.0815,
4067294,"[5, 32]",3.56345,0.006899999999999906
4067776,"[5, 32]",5.28015,0.044299999999999784
4068034,"[5, 32]",3.20355,0.1019000000000001
4068109,"[5, 32]",1.2002350000000002,0.80447
4068160,"[5, 32]",6.0779,0.19899999999999984
4068168,[32],6.542,
4068446,"[5, 32]",0.52189,0.000160000000000049
