TIC,sectors,period,range
4068478,"[5, 32]",1.4095,0.0009999999999998899
4069052,"[5, 32]",5.7158999999999995,0.13999999999999968
4069106,"[5, 32]",3.3421,0.04420000000000002
4069109,"[5, 32]",3.3421,0.04420000000000002
4069316,"[5, 32]",1.51262,0.00012000000000012001
4069344,"[5, 32]",0.288975,4.999999999999449e-05
4069442,"[5, 32]",2.713985,0.012030000000000207
4069457,[32],9.95,
4069458,[32],2.941,
4069470,[5],2.83,
4069473,[5],5.77,
4069501,"[5, 32]",1.105955,0.0019100000000000783
4069511,"[5, 32]",3.4335500000000003,0.007099999999999884
4069650,[5],2.3226,
4069694,"[5, 32]",2.03751,0.02167999999999992
4069714,"[5, 32]",3.60915,9.999999999976694e-05
4069759,[5],2.609,
4070190,"[5, 32]",0.5222199999999999,0.0008000000000000229
4070269,"[5, 32]",3.7347,3.2506000000000004
4070503,"[5, 32]",1.641,0.006000000000000005
4070682,"[5, 32]",1.046095,0.00018999999999991246
4070962,[5],6.2022,
4070964,[5],6.2022,
4071581,[32],0.52748,
4071592,[32],1.002,
4071650,[32],5.3355,
4071852,[32],1.4622,
4071863,[32],1.46266,
4072636,[32],4.7494,
4072947,[32],0.60891,
4097865,"[8, 9, 35]",3.2599666666666667,0.04800000000000004
4109575,[32],3.37,
4109979,[32],7.238,
4110254,[32],3.6251,
4110435,[32],6.41,
4110444,[32],2.4387,
4110566,[32],1.2933,
4111147,[32],7.0198,
4111209,[32],0.7816,
4111393,[32],1.9772,
4112223,"[5, 32]",0.83348,0.0013199999999999878
4112621,"[5, 32]",2.858,1.9040000000000001
4112631,[5],0.43624,
4112674,[5],6.7261,
4113082,[32],4.3645,
4113091,[5],3.08,
4113449,[5],0.82085,
4113507,"[5, 32]",1.6181100000000002,0.10421999999999998
4113786,[32],2.7123,
4114482,[32],9.55,
4115613,[32],2.1099,
4115744,[32],2.504,
4115805,[32],0.46285,
4115990,[32],7.485,
4116173,[32],2.291,
4116280,[32],7.845,
4116346,[32],4.0555,
4116538,[32],0.79102,
4116612,[32],4.56,
4116830,[32],0.37951,
4117506,[32],2.76,
4153431,[32],4.6623,
4153561,[32],1.7973,
4153688,[32],0.76278,
4153738,[32],6.4263,
4154172,[32],0.4255,
4154233,[32],0.55639,
4154431,[32],1.3955,
4154524,[32],3.3435,
4154710,[32],0.3919,
4154731,[32],0.35911,
4154932,[32],0.88399,
4155851,[32],2.7963,
4155899,[32],4.1759,
4155942,[32],3.9015,
4155947,[32],3.8902,
4156159,[32],0.7589,
4156184,[32],1.7614,
4157235,[32],2.52144,
4157527,[32],0.88771,
4157668,[32],0.90749,
4157700,[32],4.3302,
4157710,[32],2.51,
4157821,[32],3.209,
4157937,[32],4.4415,
4157971,[32],2.6692,
4158031,[32],1.6591,
4158108,[32],4.6056,
4158182,[32],1.277,
4158238,[32],6.5874,
4159461,[32],1.98567,
4159741,[32],1.6738,
4159899,[32],4.8107,
4159957,[32],3.7378,
4160272,[32],6.1481,
4160273,[32],6.9841,
4160465,[32],9.67,
4160663,[32],2.15,
4160787,[6],3.634,
4171647,[9],1.10186,
4200214,[32],5.9206,
4200235,"[6, 32]",0.86595,9.999999999998899e-05
4200337,[32],1.91749,
4200448,[32],1.22899,
4200586,"[6, 32]",5.74725,2.2874999999999996
4200588,[32],1.53465,
4200608,"[6, 32]",3.2581499999999997,0.011699999999999822
4200958,[32],0.63567,
4201015,[32],1.07088,
4201434,[32],3.9106,
4202298,[32],4.4912,
4202325,[6],0.10291,
4202477,[32],9.048,
4202562,[32],2.297,
4202787,[32],0.72788,
4202863,[32],0.71062,
4202911,[32],1.02685,
4203819,"[6, 32]",3.373055,2.23329
4203950,[6],7.114,
4204032,[6],3.0507,
4204184,"[6, 32]",2.4058,0.0040000000000000036
4204258,[6],2.04801,
4204262,[6],2.0556,
4204377,"[6, 32]",5.4792000000000005,0.33260000000000023
4204627,"[6, 32]",3.8129,0.016599999999999948
4204673,"[6, 32]",1.03689,0.69108
4204770,[6],1.602,
4204902,"[6, 32]",0.9849950000000001,0.003129999999999966
4204940,"[6, 32]",2.6411,0.028600000000000403
4205309,"[6, 32]",3.26,0.06000000000000005
4205569,"[6, 32]",3.08265,0.03469999999999995
4205576,"[6, 32]",5.4566,0.2585999999999995
4205623,"[6, 32]",3.5843499999999997,0.0687000000000002
4205819,[6],2.2822,
4205838,[6],1.847,
4205889,"[6, 32]",1.773025,5.0000000000105516e-05
4205949,[6],8.783,
4205958,[32],1.695,
4205969,[6],1.17744,
4206292,"[6, 32]",0.41,0.0
4206399,[32],8.25,
4206600,"[6, 32]",6.7903,0.6474000000000002
4206677,[32],4.0536,
4207123,"[6, 32]",4.4823,0.12319999999999975
4207130,"[6, 32]",3.5084,0.08440000000000003
4207277,[6],1.17175,
4207364,[6],2.4124,
4207656,"[6, 32]",10.243,0.4920000000000009
4207825,[6],1.562,
4249539,[32],8.02,
4249737,"[6, 32]",0.8625,0.0010000000000000009
4249738,"[6, 32]",0.862325,0.0013499999999999623
4249806,[6],0.39994,
4249841,"[6, 32]",7.159,0.3620000000000001
4249909,"[6, 32]",2.195145,1.4615099999999999
4250196,"[6, 32]",4.302300000000001,0.0354000000000001
4250225,[6],6.007,
4250239,"[6, 32]",6.93055,0.05909999999999993
4250263,"[6, 32]",0.515745,0.00018999999999991246
4250596,[32],5.9569,
4250715,"[6, 32]",2.4789399999999997,0.05387999999999993
4250725,"[6, 32]",1.09875,0.0025799999999998047
4250757,"[6, 32]",0.041885000000000006,0.005990000000000002
4250763,"[6, 32]",0.250805,4.999999999999449e-05
4250848,"[6, 32]",0.23431,0.0
4250941,[6],3.8544,
4251042,"[6, 32]",0.8991750000000001,0.00034999999999996145
4251139,[6],1.8253,
4251215,[6],1.8463,
4251219,[32],2.6595,
4251230,"[6, 32]",3.76415,2.4883
4251231,"[6, 32]",3.7647000000000004,2.4872
4251275,"[6, 32]",2.17525,0.026499999999999968
4251508,"[6, 32]",0.388345,9.00000000000345e-05
4251533,[6],0.40114,
4251581,[6],0.28697,
4251867,[32],7.458,
4252043,"[6, 32]",2.82503,0.31454000000000004
4252639,[6],5.9307,
4252851,"[6, 32]",4.811,0.04260000000000019
4253705,"[6, 32]",2.77585,0.07169999999999987
4253713,"[6, 32]",1.0625,0.0009999999999998899
4253864,[6],4.31,
4254033,"[6, 32]",3.94925,0.02389999999999981
4254366,[6],1.2728,
4254504,"[6, 32]",0.6718299999999999,0.0005199999999999649
4254625,"[6, 32]",0.43193499999999996,0.000130000000000019
4254831,[6],0.21596,
4254880,"[6, 32]",2.31785,0.013900000000000023
4255062,"[6, 32]",5.94475,0.17549999999999955
4255072,[6],1.56803,
4255074,[6],1.56758,
4255193,"[6, 32]",5.897,0.14360000000000017
4255199,"[6, 32]",6.40395,0.4259000000000004
4255267,[6],0.66745,
4255301,"[6, 32]",7.1223,0.17220000000000013
4255524,"[6, 32]",0.76623,0.00046000000000001595
4255659,[32],1.2806,
4255685,"[6, 32]",0.645985,0.0006500000000000394
4255791,"[6, 32]",4.8786000000000005,0.20280000000000076
4255954,[6],7.5,
4255975,[6],1.04245,
4256147,[32],7.391,
4256168,[6],1.24593,
4256180,[6],2.6522,
4256236,"[6, 32]",6.1352,0.2096
4256273,"[6, 32]",5.220000000000001,0.16880000000000006
4256313,[6],7.183,
4256414,[6],7.535,
4256593,"[6, 32]",0.29581999999999997,0.00015999999999999348
4256668,[32],6.7105,
4256842,"[6, 32]",2.3590999999999998,0.018199999999999772
4256908,"[6, 32]",2.5248999999999997,0.06119999999999992
4257091,"[6, 32]",4.1879,0.21160000000000068
4261771,"[8, 9, 35]",0.40819333333333335,0.00039000000000000146
4283072,[20],5.183,
4288719,"[6, 32]",3.84655,0.04689999999999994
4288924,[6],2.3559,
4289286,"[6, 32]",0.149595,1.0000000000010001e-05
4289338,[6],1.6317,
4289378,"[6, 32]",1.956,0.006000000000000005
4289400,"[6, 32]",3.8166,0.02959999999999985
4289493,[6],0.432,
4289527,[6],0.43192,
4289703,"[6, 32]",8.1464,0.39280000000000026
4289713,"[6, 32]",1.3920499999999998,0.016100000000000003
4289743,[6],0.67749,
4289750,[6],0.36513,
4289755,"[6, 32]",1.71632,0.024639999999999995
4289756,"[6, 32]",1.71732,0.022639999999999993
4289830,"[6, 32]",6.69215,4.2681000000000004
4289842,[6],1.8252,
4289937,[6],4.06,
4290018,"[6, 32]",1.393975,0.004350000000000076
4290020,[6],1.3918,
4290045,[6],1.59099,
4290083,[6],1.72062,
4290186,"[6, 32]",4.284425,6.09115
4290290,"[6, 32]",3.0063,0.012599999999999945
4290292,[6],2.3979,
4290334,[6],1.15528,
4290478,"[6, 32]",2.48655,0.010299999999999976
4290516,"[6, 32]",0.6840550000000001,0.00029000000000001247
4290594,"[6, 32]",7.44035,0.24770000000000003
4290785,"[6, 32]",1.34083,0.88966
4290874,[6],7.15,
4290917,[6],4.5154,
4290970,"[6, 32]",5.2485,0.10299999999999976
4291082,"[6, 32]",1.9861849999999999,0.00036999999999998145
4291895,[32],2.929,
4292115,"[6, 32]",3.3798,0.17079999999999984
4292437,"[6, 32]",5.8807,0.11619999999999919
4292520,[6],4.9872,
4292542,[6],7.2524,
4292632,"[6, 32]",5.64715,0.045700000000000074
4292650,"[6, 32]",2.6102,0.15959999999999974
4292715,"[6, 32]",1.444075,0.0020299999999999763
4292885,"[6, 32]",1.209905,0.00018999999999991246
4292894,"[6, 32]",2.165,0.009999999999999787
4293132,"[6, 32]",3.43215,0.009500000000000064
4293519,[6],2.0368,
4293564,"[6, 32]",2.135255,0.009489999999999998
4293766,"[6, 32]",5.63735,0.18869999999999987
4293859,"[6, 32]",0.66523,9.999999999998899e-05
4293984,"[6, 32]",4.2968,0.032999999999999474
4294279,"[6, 32]",2.6952499999999997,0.011299999999999866
4294319,[6],0.799,
4294349,[32],2.7803,
4294655,"[6, 32]",1.34062,0.005759999999999987
4294664,[6],1.073,
4294779,[6],0.3424,
4294781,[6],0.34237,
4294882,"[6, 32]",5.0884,0.14119999999999955
4294886,"[6, 32]",5.1021,0.11379999999999946
4294904,[6],8.7,
4294968,"[6, 32]",8.4376,0.8268000000000004
4294982,"[6, 32]",1.3795,0.0009999999999998899
4295059,[32],4.1713,
4295191,[6],0.62757,
4295569,[6],0.83523,
4295735,[6],4.5744,
4295762,"[6, 32]",4.8229,3.0478
4295883,"[6, 32]",7.01975,0.1795
4295903,[6],1.30997,
4295938,[6],0.98504,
4295996,"[6, 32]",6.06065,3.9869000000000003
4296128,[6],6.9979,
4296202,"[6, 32]",0.605505,0.00046999999999997044
4302262,[20],2.6297,
4342429,"[8, 9]",0.382025,4.999999999999449e-05
4349919,"[6, 32]",0.66288,0.00024000000000001798
4349954,"[6, 32]",2.153935,1.4881300000000002
4350040,"[6, 32]",0.98387,0.000260000000000038
4350050,"[6, 32]",0.98407,0.000140000000000029
4350052,"[6, 32]",0.9840949999999999,0.00019000000000002348
4350057,[6],0.98286,
4350339,[32],8.15,
4350365,[6],2.6431,
4350534,[6],0.64152,
4350576,"[6, 32]",4.0377,0.025000000000000355
4350627,"[6, 32]",0.896795,0.004410000000000025
4350635,"[6, 32]",0.8979699999999999,6.0000000000060005e-05
4350719,[6],0.42173,
4351017,"[6, 32]",1.93125,0.0035000000000000586
4351038,"[6, 32]",6.65685,0.10289999999999999
4351044,"[6, 32]",6.6577,0.14979999999999993
4351139,"[6, 32]",6.89025,0.2193000000000005
4351575,"[6, 32]",6.057449999999999,0.14609999999999967
4351603,[6],6.96,
4351641,"[6, 32]",7.01735,0.3420999999999994
4351882,"[6, 32]",1.675045,0.0024300000000001543
4351947,"[6, 32]",1.94645,0.013100000000000112
4352022,"[6, 32]",0.7788550000000001,0.0007899999999999574
4352161,"[6, 32]",0.746535,0.00039000000000000146
4352258,[32],0.86677,
4352884,"[6, 32]",4.119149999999999,0.6468999999999996
4352899,"[6, 32]",1.573495,0.0010099999999999554
4353235,[32],4.655,
4353888,[6],3.8702,
4353959,"[6, 32]",6.023149999999999,0.3463000000000003
4353979,"[6, 32]",4.7197,0.10220000000000073
4353991,"[6, 32]",0.41335,0.00021999999999999797
4354011,[6],6.7,
4354049,"[6, 32]",0.6725300000000001,0.16746000000000005
4354216,"[6, 32]",3.9113999999999995,0.18279999999999985
4354527,"[6, 32]",1.5015,0.005400000000000071
4354619,"[6, 32]",2.6639999999999997,0.01200000000000001
4354630,"[6, 32]",1.02109,0.0006999999999999229
4354632,"[6, 32]",1.02109,0.0006999999999999229
4354680,"[6, 32]",0.395825,0.26357
4355176,"[6, 32]",7.0405,0.4189999999999996
4355183,"[6, 32]",6.183400000000001,0.07500000000000018
4355186,[6],0.89888,
4355245,[6],0.77183,
4355247,[6],0.77183,
4355261,[6],0.43258,
4355273,[32],1.8096,
4355283,"[6, 32]",7.758050000000001,0.8981000000000003
4355347,"[6, 32]",6.7957,0.009999999999999787
4355351,"[6, 32]",2.022755,0.005510000000000126
4355485,[6],6.9765,
4355494,"[6, 32]",1.3505,0.0009999999999998899
4355516,"[6, 32]",3.918,0.0242
4355542,[32],1.8334,
4355684,"[6, 32]",2.551305,0.0360100000000001
4355997,[6],2.9902,
4356003,"[6, 32]",2.40735,0.014499999999999957
4356280,"[6, 32]",6.5615000000000006,0.25700000000000056
4356534,[6],5.9208,
4356562,[32],2.3623,
4356650,"[6, 32]",5.759,0.35799999999999965
4356818,"[6, 32]",1.1105749999999999,0.0010499999999999954
4356819,"[6, 32]",1.1105749999999999,0.0010499999999999954
4356847,"[6, 32]",1.6748,0.0045999999999999375
4357066,[6],0.0874,
4357196,[6],3.545,
4357552,"[6, 32]",5.17455,0.26890000000000036
4357655,[6],1.436,
4378110,"[6, 32]",3.14775,0.06170000000000009
4378323,"[6, 32]",2.82255,0.07010000000000005
4378417,"[6, 32]",3.01185,0.023699999999999832
4378433,[6],0.78317,
4378441,[6],1.35883,
4378476,[6],2.2369,
4378526,[6],0.55751,
4378551,[6],1.954,
4378555,"[6, 32]",2.91699,1.9250200000000002
4378577,[6],1.82,
4378622,"[6, 32]",2.00386,0.006999999999999673
4378674,[6],1.398,
4378690,"[6, 32]",3.92435,0.09450000000000003
4378735,[6],1.7743,
4378789,"[6, 32]",7.68675,0.6742999999999997
4378932,"[6, 32]",3.44095,0.8662999999999998
4378936,[6],2.7308,
4378938,"[6, 32]",7.4404,0.24519999999999964
4378955,[6],4.2269,
4378986,[6],0.3099,
4379117,"[6, 32]",2.468315,0.010629999999999917
4379255,"[6, 32]",6.9557,4.462599999999999
4379995,[6],5.3758,
4380015,"[6, 32]",5.2039,0.012000000000000455
4380925,[32],1.09574,
4503848,[9],1.94,
4504690,[9],1.55944,
4509245,"[8, 9]",0.99248,0.0029599999999999627
4535208,[12],3.29,
4536340,[12],2.35436,
4593735,"[8, 9, 35]",3.7336666666666667,0.0788000000000002
4614514,"[6, 33]",0.04753,0.03338
4616572,"[6, 7]",1.3616549999999998,0.0001100000000000545
4618311,"[6, 7, 33]",3.467966666666667,0.08910000000000018
4639431,[9],0.58133,
4639678,"[8, 9, 35]",8.739333333333333,1.0109999999999992
4704488,[7],2.3387,
4707344,"[7, 33]",6.28915,0.9162999999999997
4724155,"[8, 9]",1.20193,0.0024800000000000377
4803403,"[8, 9, 35]",1.5614333333333335,0.006900000000000128
4831193,[7],8.0129,
4854667,[9],9.041,
4855873,[8],2.9761,
4932825,"[7, 33]",7.31585,1.0183
4961751,[35],7.663,
4964566,[35],5.2108,
4969296,"[8, 9, 35]",4.032166666666667,0.10459999999999958
4969542,"[8, 9, 35]",0.32016,0.00029999999999996696
4969967,"[9, 35]",1.00839,0.0025399999999999867
4982011,"[7, 33, 34]",6.826033333333332,0.5281000000000002
4983692,"[7, 33, 34]",4.2531,1.5606000000000004
4986948,"[7, 33]",3.0724,0.0023999999999997357
5005889,"[7, 33]",2.136765,0.01067000000000018
5047038,[7],0.29801,
5088226,[9],5.4946,
5092862,"[8, 9, 35]",1.0029199999999998,0.0036799999999999056
5093805,[9],5.678,
5094365,"[8, 9]",8.05,4.683999999999999
5094869,[35],5.896,
5120662,"[7, 33, 34]",4.7520999999999995,2.75
5120663,"[7, 33, 34]",4.762566666666667,2.75
5121208,"[7, 33, 34]",5.0629,0.3764000000000003
5121404,"[7, 33, 34]",2.0096000000000003,0.020199999999999996
5134295,[33],0.30343,
5156358,"[9, 35]",0.392,0.0
5163513,"[8, 9, 35]",4.579899999999999,0.1164000000000005
5217192,"[7, 34]",0.7706500000000001,0.00010000000000010001
5229041,"[8, 9, 35]",0.03183333333333333,0.0011000000000000003
5229112,"[8, 9]",1.027105,0.0006699999999999484
5229347,"[8, 9]",4.328,0.1120000000000001
5232034,"[8, 35]",6.748,0.24399999999999977
5267425,[26],2.42,
5273482,"[7, 33]",1.137,0.7599999999999999
5278627,[7],0.0378,
5375688,"[7, 33]",0.383075,0.00014999999999998348
5381964,"[8, 9, 35]",3.7590333333333334,0.1942999999999997
5382358,"[8, 9, 35]",0.5550266666666667,0.41647999999999996
5382402,[8],0.95895,
5384208,[8],0.16403,
5384712,[8],3.5235,
5454481,"[7, 33]",5.874499999999999,3.7573999999999996
5465426,[7],0.0325,
5490526,[26],3.4322,
5493240,[26],2.11977,
5495608,[34],6.463,
5497077,"[7, 34]",4.1129,0.5541999999999998
5537671,"[8, 9, 35]",0.9680666666666666,0.00019999999999997797
5548244,[9],0.54655,
5616793,"[9, 35]",0.92097,0.0016599999999999948
5620892,[9],2.8244,
5621550,[35],1.899,
5626209,"[8, 9, 35]",0.91393,0.0012300000000000644
5626212,"[8, 9]",0.9122600000000001,0.0034800000000000386
5755822,[12],2.22912,
5761019,[7],0.43871,
5784648,"[8, 9, 35]",2.5765333333333333,0.0242
5858176,[7],0.3451,
5903596,"[8, 9, 35]",6.141500000000001,3.9005
5908336,[9],3.9,
5917423,[7],2.295,
5918400,[7],2.05153,
6187786,[12],5.2522,
6198168,[12],2.48831,
6274453,[7],0.42428,
6279800,"[7, 34]",4.8913,0.03739999999999988
6281441,"[7, 34]",1.6585,0.013000000000000123
6286790,[13],7.3555,
6426805,"[7, 34]",3.1796,0.1612
6613418,[7],3.3465,
6665017,[13],5.08,
6725150,[13],0.23611,
6861793,[7],6.13,
6951150,"[7, 34]",6.093649999999999,4.2447
7278904,[7],11.27,
7428069,[7],4.679,
8354798,[26],2.22121,
8373961,[12],5.7857,
8400414,[19],0.6789,
8418378,[12],7.1064,
8460026,[26],5.0016,
8460505,[26],5.251,
8485155,[19],1.34323,
8571897,[19],5.6687,
8609943,[19],2.23622,
8778363,[19],0.69706,
8834563,[14],3.8991,
8834569,[14],3.8991,
8890141,[19],2.6176,
8890907,[19],2.34647,
9042238,[19],8.578,
9050477,[19],6.61,
9093119,[14],0.28182,
9131633,[19],6.693,
9171830,[20],3.92,
9208937,[19],7.062,
9268949,[5],1.18119,
9287399,[19],0.52414,
9288740,[19],4.9113,
9296368,"[5, 32]",3.032,0.0040000000000000036
9415416,[14],3.62,
9431502,[5],0.59818,
9431899,[5],0.44652,
9443159,[19],0.08589,
9446308,[19],0.78124,
9449694,[19],6.6142,
9460851,[5],0.53366,
9576503,[19],0.311,
9656642,[19],5.346,
9658433,[19],5.9247,
9838822,[19],6.9374,
9947625,[19],1.66738,
9949168,[19],0.19086,
10013701,[19],0.955,
10013969,[19],0.397,
10060589,[33],0.47997,
10063655,"[7, 33]",2.79785,0.03570000000000029
10155620,[18],5.5336,
10164865,[25],6.6107,
10243848,"[18, 24, 25]",0.6876966666666666,0.0006499999999999284
10255983,[7],0.89365,
10257934,[7],6.747,
10259411,[33],1.75353,
10260406,[7],7.1461,
10261127,[7],0.75699,
10262962,[33],7.405,
10292936,[26],7.167,
10381503,[7],2.6949,
10391239,[7],0.74651,
10398635,[26],8.83,
10429286,[24],5.0497,
10430512,[24],0.3947,
10450226,[14],4.324,
10486359,[7],7.165,
10550904,[16],7.6044,
10589531,[26],0.40676,
10602723,[18],1.265,
10606684,[18],4.6498,
10606896,[18],4.0592,
10622146,[18],0.316,
10706958,[24],7.302,
10707156,[18],4.47,
10709800,"[18, 24, 25]",0.9626,0.0013499999999999623
10822722,[7],5.02,
10826370,"[7, 33]",2.27252,3.79096
10832477,[34],0.2772,
10832852,"[7, 34]",0.63567,0.42122000000000004
10868888,[18],5.2834,
10869961,[18],4.9718,
10921446,[7],0.90458,
11008717,[7],0.36388,
11027938,[14],0.32593,
11073489,"[7, 34]",2.8379049999999997,4.11419
11075214,"[7, 8, 34]",0.3423933333333333,0.000250000000000028
11083755,[5],0.79864,
11085634,"[5, 32]",8.936,0.04400000000000048
11103464,[5],1.72797,
11149657,[24],4.7807,
11154181,[18],4.8645,
11161755,"[5, 32]",1.948935,0.008909999999999973
11167051,[32],4.0747,
11167221,"[6, 32]",4.4375,0.005000000000000782
11170301,[8],2.13988,
11193628,[6],0.92438,
11193635,"[6, 32]",5.80025,3.9301
11193723,"[6, 32]",3.2384,0.009199999999999875
11193768,"[6, 32]",0.9859450000000001,0.0021099999999999453
11193803,[6],7.892,
11194049,[6],1.6952,
11194079,"[6, 32]",0.47804,8.00000000000245e-05
11194125,[6],4.0753,
11194253,[6],0.42592,
11194412,[6],2.08279,
11194496,"[6, 32]",1.7575500000000002,0.0042999999999999705
11194774,"[6, 32]",0.42674500000000004,1.0000000000010001e-05
11194909,[32],0.68092,
11194938,[6],0.31317,
11195167,"[6, 32]",1.67563,0.0007399999999999629
11195168,"[6, 32]",1.6762299999999999,0.0015400000000000968
11195462,"[6, 32]",1.789685,0.011970000000000036
11195474,"[6, 32]",6.5608,0.8356000000000003
11195703,"[6, 32]",2.0949999999999998,0.010000000000000231
11195774,"[6, 32]",1.9466,0.017699999999999827
11195793,"[6, 32]",1.43765,0.00529999999999986
11195796,"[6, 32]",1.0575,0.001000000000000112
11195799,"[6, 32]",1.057625,0.0012099999999999334
11195899,"[6, 32]",0.84153,0.0009399999999999409
11195920,[6],5.5342,
11196164,"[6, 32]",1.818335,0.029329999999999856
11196241,"[6, 32]",0.770535,0.0006700000000000594
11196303,[6],3.185,
11196405,[6],0.19969,
11196579,"[6, 32]",4.5137,3.0128000000000004
11196652,"[6, 32]",3.7206,2.4464000000000006
11196664,[6],2.1751,
11196723,[6],4.92,
11196825,[32],0.37105,
11196966,"[6, 32]",0.765235,0.00022999999999995246
11197241,"[6, 32]",3.7585,2.543
11197328,"[6, 32]",3.0740550000000004,3.3210900000000003
11197457,[6],0.77898,
11197581,[6],7.071,
11197589,[6],7.249,
11197621,[6],1.7073,
11197871,[32],2.851,
11197893,"[6, 32]",3.8815999999999997,2.5831999999999997
11197895,"[6, 32]",3.88225,2.5755
11197905,"[6, 32]",0.49155499999999996,0.0028900000000000037
11197936,"[6, 32]",0.49024,0.32647999999999994
11197950,"[6, 32]",0.30798000000000003,3.999999999998449e-05
11198070,"[6, 32]",3.09055,0.2134999999999998
11198076,[6],2.99,
11198084,[6],2.9577,
11198135,"[6, 32]",4.47045,0.003100000000000769
11198444,[32],3.4023,
11198477,"[6, 32]",3.32885,0.018899999999999917
11198487,[6],6.69,
11198544,[6],8.187,
11198786,"[6, 32]",1.8167,0.0005999999999999339
11198847,[6],1.8472,
11198976,[6],1.6718,
11199050,"[6, 32]",2.128335,0.003330000000000055
11199053,"[6, 32]",2.13,0.0
11199127,[6],1.769,
11199229,"[6, 32]",4.1939,0.0860000000000003
11199271,"[6, 32]",0.6296550000000001,0.004689999999999972
11199273,"[6, 32]",2.4324649999999997,0.055070000000000174
11199280,"[6, 32]",2.4149599999999998,0.010079999999999867
11199287,[6],7.398,
11199304,[6],0.10758,
11199338,"[6, 32]",4.5672,0.06559999999999988
11199347,"[6, 32]",4.5669,0.06619999999999937
11199427,"[6, 32]",0.573045,2.999999999997449e-05
11199441,"[6, 32]",6.7266,6.280800000000001
11199488,"[6, 32]",3.2986500000000003,0.017300000000000093
11199494,"[6, 32]",3.3037,0.02740000000000009
11199521,[32],0.097,
11199544,"[6, 32]",1.775735,0.02998999999999996
11199788,"[6, 32]",6.0054,2.4508
11199790,"[6, 32]",6.0054,2.4508
11199928,[32],0.8644,
11199965,[32],13.67,
11199969,[6],2.74,
11200032,"[6, 32]",7.929,4.474
11200071,"[6, 32]",5.5865,0.7929999999999993
11200081,[6],2.6745,
11200093,"[6, 32]",2.4954,0.01780000000000026
11200122,[6],1.39928,
11200179,"[6, 32]",4.1423000000000005,0.04459999999999997
11200204,[6],1.6413,
11200230,"[6, 32]",6.552849999999999,0.43429999999999946
11200244,"[6, 32]",3.9088,0.008399999999999963
11200299,[6],1.203,
11200365,[6],2.5415,
11200467,"[6, 32]",2.2154499999999997,0.009300000000000086
11200503,"[6, 32]",3.0605,0.07900000000000018
11200543,[6],2.1899,
11200546,"[6, 32]",0.93893,0.0016399999999999748
11200615,"[6, 32]",5.959899999999999,0.13980000000000015
11200691,[6],11.341,
11200716,[6],0.96247,
11200777,[6],1.7114,
11200814,[6],7.548,
11200830,[32],1.98976,
11200901,"[6, 32]",4.38075,0.10829999999999984
11200958,[6],5.8114,
11201015,"[6, 32]",1.7955,0.0029999999999998916
11201232,"[6, 32]",3.84255,0.014899999999999913
