TIC ID,sectors
63211674,"[40, 41, 54, 55]"
63283780,"[40, 41, 54, 55]"
63452790,"[40, 41, 54, 55]"
63898957,[3]
65412605,"[7, 33, 34, 61]"
66561343,"[6, 33]"
66818296,"[12, 38]"
67646988,"[21, 48]"
67666096,"[21, 48]"
68007716,"[7, 34]"
68577662,"[43, 44, 71]"
69679391,"[14, 40, 41, 54, 74]"
69747919,"[2, 28]"
70440470,"[1, 28]"
70513361,"[3, 30]"
70524163,"[3, 30]"
70899085,"[5, 32]"
73228647,"[10, 37, 64]"
73228647,"[10, 37, 64]"
73448352,"[18, 58]"
73540072,"[23, 50]"
73717937,"[10, 11, 37]"
75262942,"[41, 54]"
76419763,"[26, 40, 53, 54]"
76923707,"[2, 29]"
77031414,"[2, 29]"
77044471,"[2, 29]"
77156657,"[4, 5, 31, 32]"
77156829,"[4, 5, 31, 32]"
77156829,"[4, 5, 31, 32]"
77156829,"[4, 5, 31, 32]"
78055054,"[5, 6, 32]"
79748331,"[13, 27, 67]"
79748331,"[13, 27, 67]"
82308728,"[22, 49]"
83092282,"[8, 9, 34, 35, 61, 62]"
83181153,"[43, 44, 45, 71, 72]"
84339983,"[43, 44, 45]"
85593751,"[42, 58]"
86263325,"[22, 46, 49]"
86396382,"[20, 43, 44, 45]"
88992642,"[25, 26, 40]"
89020549,"[1, 28]"
90850770,[27]
91051152,[56]
91987762,"[21, 45, 46, 48, 72]"
92226327,"[3, 30]"
92226327,"[3, 30]"
92352620,"[1, 27, 68]"
92449173,[68]
94986319,"[5, 6, 32]"
94986319,"[5, 6, 32]"
95057860,[6]
95660472,"[20, 44, 45, 46, 47, 71, 72]"
97409519,[1]
97568467,"[6, 33, 45, 72]"
97735908,"[43, 44, 45, 71]"
98283926,"[7, 33, 34]"
98545929,"[7, 33, 34, 61]"
98669309,[46]
98796344,"[4, 31]"
99224131,"[14, 41, 55]"
99834717,"[14, 21, 41, 47, 48]"
99869022,"[14, 21, 41, 48, 75]"
100100827,"[2, 3, 29, 30, 69]"
100389539,"[33, 34]"
100566492,[27]
100990000,"[3, 4, 30, 31]"
100990000,"[3, 4, 30, 31]"
101011575,"[8, 34, 61]"
101011575,"[8, 34, 61]"
101037590,"[18, 58]"
101721385,"[25, 26, 52, 53]"
101955023,"[9, 10, 36]"
102192004,"[10, 11, 37]"
102264230,[42]
103633434,"[14, 20, 21, 40, 41, 47, 60, 74]"
103751498,"[14, 20, 21, 40, 41, 47]"
104024556,"[10, 37, 64]"
106402532,"[9, 36, 63]"
111991770,[11]
112099249,[11]
112604564,"[7, 34]"
114299824,"[7, 34]"
114749636,"[2, 29]"
115010361,"[23, 46, 50]"
115524421,"[24, 25, 26, 51, 52]"
116156517,"[2, 29]"
116242971,"[25, 26, 40, 53]"
116264089,"[25, 26, 40, 52, 53]"
116483514,"[16, 23, 24, 50, 51, 77, 78]"
117275513,"[21, 44, 45, 46, 72]"
117979897,"[5, 32]"
118327550,"[2, 29]"
118956453,"[8, 35]"
119584412,"[22, 49]"
120247528,[13]
120255950,"[40, 41, 53, 54]"
120317234,"[14, 26, 40, 41, 53, 54, 74]"
120610833,"[2, 29]"
120692092,"[40, 41, 53, 54]"
120757718,"[14, 40, 41, 53, 54]"
120896927,"[3, 4, 30]"
120896927,"[3, 4, 30]"
120916706,"[3, 30]"
120960812,"[14, 40, 41, 53, 54]"
120960812,"[14, 40, 41, 53, 54]"
121490076,"[1, 28, 68]"
121660904,"[40, 41, 54, 55]"
121731834,"[14, 40, 41, 54, 55]"
122375047,"[40, 41, 54, 55]"
122441491,"[40, 41, 54, 55]"
122596693,"[40, 41, 54, 55]"
122612091,"[3, 4, 30, 31]"
122785299,"[40, 41, 54]"
123233041,"[14, 40, 41, 53, 54]"
123309556,"[40, 41, 53, 54, 55]"
123357864,"[14, 26, 40, 41, 53, 54, 55]"
123482865,"[7, 8, 34, 35]"
123495874,"[14, 26, 40, 41, 54, 55]"
124029677,"[6, 33]"
124379043,"[6, 33]"
124778445,[33]
125739286,"[11, 38]"
126606859,"[15, 41, 55]"
127530399,"[11, 38]"
127530399,"[11, 38]"
129979528,"[18, 58]"
130181866,"[20, 44, 45, 46, 47, 72]"
130181866,"[20, 44, 45, 46, 47]"
134200185,"[6, 7, 8, 33, 34, 35, 61]"
134537478,"[7, 33, 34, 61]"
136916387,"[12, 38, 65]"
136916387,"[12, 38, 65]"
136916387,"[12, 38, 65]"
137151335,"[14, 40, 41, 54, 55, 74]"
137402055,"[40, 41, 54, 55]"
137683938,"[40, 41, 54, 55]"
137881699,"[21, 48]"
137899948,"[40, 41, 54, 55]"
137903329,"[40, 41, 54, 55]"
138168780,"[19, 20, 26, 40, 53, 59, 60]"
138294130,"[24, 50, 51]"
138359318,"[40, 41, 54, 55]"
138364831,"[40, 41, 54, 55]"
138644215,"[40, 41, 54, 55]"
138819293,"[22, 49]"
139104940,"[41, 54, 55]"
139285832,"[1, 2, 28]"
139375960,[18]
139528693,"[5, 31, 32]"
139733308,"[5, 32]"
140691463,"[9, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69]"
141488193,"[20, 26, 53]"
142211778,[63]
142276270,"[14, 15, 21, 22]"
142276270,"[14, 15, 21, 22, 41, 48, 75]"
142276270,"[14, 15, 21, 22, 41, 48, 75]"
142276270,"[14, 15, 21, 22, 41, 48, 75]"
142394656,"[15, 21, 22, 41, 48, 49, 75]"
142748283,"[14, 20, 21, 40, 41, 47, 53, 60]"
142748283,"[14, 20, 21, 40, 41, 47, 53, 60]"
142937186,[31]
143143769,"[6, 32, 33]"
144065872,"[1, 28]"
144193715,"[1, 28, 68]"
144700903,[6]
145750719,"[2, 29, 42]"
146520535,[5]
147797743,[60]
147977348,"[6, 7, 33, 34]"
148673433,"[22, 48]"
149601126,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
149601126,"[27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 64, 65]"
149603524,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 61, 62, 64, 65, 68]"
149845414,"[8, 34]"
149918151,"[14, 21, 41, 48]"
149969625,[46]
150096001,"[43, 44, 70, 71]"
150098860,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 61, 62, 63, 65, 66, 68]"
150151262,"[3, 4, 5, 6, 7, 9, 10, 11, 13, 27, 29, 30, 31, 32, 33, 34, 36, 37, 39, 61, 62, 63, 64, 65, 66, 67]"
150151262,"[3, 4, 5, 6, 7, 9, 10, 11, 13, 27, 29, 30, 31, 32, 33, 34, 36, 37, 39, 61, 62, 63, 64, 65, 66, 67]"
150151262,"[3, 4, 5, 6, 7, 9, 10, 11, 13, 27, 29, 30, 31, 32, 33, 34, 36, 37, 39, 61, 62, 63, 64, 65, 66, 67]"
150428135,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 61, 62, 63, 64, 65, 66, 68, 69]"
150428135,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 61, 62, 63, 64, 65, 66, 68, 69]"
150428135,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 61, 62, 63, 64, 65, 66, 68, 69]"
150428135,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 61, 62, 63, 64, 65, 66, 68, 69]"
151483286,"[7, 8, 34]"
151825527,"[9, 10, 36]"
151920165,"[9, 10, 36]"
152476657,"[4, 5, 30, 31]"
152852327,"[36, 46]"
154293917,"[16, 23, 24]"
154716798,"[14, 20, 26, 40, 47, 53, 59]"
154872375,"[14, 19, 20, 21, 26, 40, 47, 53, 59, 74]"
155867025,"[19, 59]"
